PS,,SS,
x [m],y [m],x [m],y [m]
0.01870706,0.00249039,0.01770961,0.00910248
0.01876293,0.00247600,0.01777394,0.00908736
0.01881876,0.00246144,0.01783822,0.00907197
0.01887454,0.00244673,0.01790243,0.00905632
0.01893029,0.00243185,0.01796658,0.00904041
0.01898599,0.00241681,0.01803066,0.00902424
0.01904164,0.00240161,0.01809468,0.00900781
0.01909725,0.00238625,0.01815863,0.00899112
0.01915282,0.00237072,0.01822251,0.00897418
0.01920834,0.00235504,0.01828633,0.00895699
0.01926382,0.00233920,0.01835008,0.00893954
0.01931925,0.00232321,0.01841375,0.00892184
0.01937464,0.00230705,0.01847736,0.00890388
0.01942998,0.00229074,0.01854089,0.00888568
0.01948527,0.00227427,0.01860436,0.00886722
0.01954052,0.00225764,0.01866775,0.00884852
0.01959572,0.00224086,0.01873106,0.00882957
0.01965087,0.00222392,0.01879430,0.00881037
0.01970598,0.00220683,0.01885747,0.00879093
0.01976103,0.00218959,0.01892056,0.00877124
0.01981604,0.00217219,0.01898358,0.00875131
0.01987100,0.00215464,0.01904651,0.00873114
0.01992591,0.00213694,0.01910937,0.00871072
0.01998078,0.00211908,0.01917216,0.00869007
0.02003559,0.00210108,0.01923486,0.00866918
0.02009035,0.00208292,0.01929748,0.00864805
0.02014506,0.00206462,0.01936002,0.00862668
0.02019973,0.00204616,0.01942249,0.00860508
0.02025434,0.00202756,0.01948487,0.00858325
0.02030890,0.00200881,0.01954717,0.00856118
0.02036341,0.00198991,0.01960938,0.00853888
0.02041787,0.00197086,0.01967152,0.00851636
0.02047228,0.00195167,0.01973357,0.00849360
0.02052664,0.00193234,0.01979553,0.00847061
0.02058095,0.00191285,0.01985741,0.00844740
0.02063520,0.00189323,0.01991921,0.00842396
0.02068940,0.00187346,0.01998092,0.00840030
0.02074355,0.00185354,0.02004254,0.00837641
0.02079765,0.00183349,0.02010408,0.00835231
0.02085169,0.00181329,0.02016553,0.00832798
0.02090568,0.00179295,0.02022690,0.00830343
0.02095962,0.00177247,0.02028817,0.00827867
0.02101350,0.00175186,0.02034936,0.00825368
0.02106733,0.00173110,0.02041046,0.00822849
0.02112111,0.00171020,0.02047147,0.00820307
0.02117483,0.00168917,0.02053239,0.00817745
0.02122850,0.00166799,0.02059322,0.00815161
0.02128212,0.00164669,0.02065397,0.00812556
0.02133568,0.00162524,0.02071462,0.00809930
0.02138918,0.00160366,0.02077518,0.00807283
0.02144264,0.00158195,0.02083565,0.00804616
0.02149603,0.00156010,0.02089602,0.00801927
0.02154938,0.00153812,0.02095631,0.00799219
0.02160266,0.00151600,0.02101650,0.00796490
0.02165589,0.00149375,0.02107661,0.00793741
0.02170907,0.00147138,0.02113662,0.00790971
0.02176219,0.00144887,0.02119653,0.00788182
0.02181526,0.00142622,0.02125636,0.00785373
0.02186827,0.00140345,0.02131609,0.00782543
0.02192123,0.00138055,0.02137572,0.00779695
0.02197412,0.00135753,0.02143527,0.00776827
0.02202697,0.00133437,0.02149472,0.00773939
0.02207976,0.00131109,0.02155407,0.00771033
0.02213249,0.00128768,0.02161334,0.00768107
0.02218516,0.00126414,0.02167251,0.00765162
0.02223778,0.00124048,0.02173158,0.00762198
0.02229034,0.00121669,0.02179056,0.00759216
0.02234285,0.00119278,0.02184944,0.00756215
0.02239530,0.00116874,0.02190824,0.00753195
0.02244769,0.00114458,0.02196693,0.00750157
0.02250003,0.00112030,0.02202553,0.00747101
0.02255231,0.00109590,0.02208404,0.00744027
0.02260453,0.00107138,0.02214245,0.00740935
0.02265670,0.00104673,0.02220077,0.00737825
0.02270880,0.00102197,0.02225899,0.00734697
0.02276086,0.00099708,0.02231711,0.00731551
0.02281285,0.00097208,0.02237515,0.00728388
0.02286479,0.00094696,0.02243308,0.00725208
0.02291667,0.00092172,0.02249092,0.00722010
0.02296849,0.00089637,0.02254867,0.00718795
0.02302026,0.00087090,0.02260632,0.00715563
0.02307197,0.00084531,0.02266387,0.00712314
0.02312362,0.00081961,0.02272133,0.00709048
0.02317522,0.00079379,0.02277869,0.00705766
0.02322676,0.00076786,0.02283596,0.00702466
0.02327824,0.00074181,0.02289314,0.00699151
0.02332966,0.00071566,0.02295021,0.00695819
0.02338103,0.00068939,0.02300720,0.00692471
0.02343234,0.00066301,0.02306408,0.00689106
0.02348359,0.00063652,0.02312087,0.00685726
0.02353479,0.00060991,0.02317757,0.00682329
0.02358593,0.00058320,0.02323417,0.00678917
0.02363701,0.00055638,0.02329068,0.00675489
0.02368803,0.00052945,0.02334709,0.00672045
0.02373900,0.00050242,0.02340341,0.00668586
0.02378991,0.00047528,0.02345963,0.00665112
0.02384077,0.00044803,0.02351576,0.00661622
0.02389156,0.00042067,0.02357179,0.00658117
0.02394230,0.00039321,0.02362773,0.00654597
0.02399298,0.00036564,0.02368357,0.00651062
0.02404361,0.00033797,0.02373932,0.00647512
0.02409418,0.00031020,0.02379497,0.00643947
0.02414469,0.00028232,0.02385053,0.00640368
0.02419515,0.00025434,0.02390600,0.00636774
0.02424555,0.00022626,0.02396137,0.00633166
0.02429589,0.00019808,0.02401665,0.00629543
0.02434618,0.00016980,0.02407184,0.00625906
0.02439641,0.00014142,0.02412693,0.00622255
0.02444658,0.00011294,0.02418193,0.00618590
0.02449670,0.00008436,0.02423683,0.00614911
0.02454676,0.00005568,0.02429164,0.00611219
0.02459677,0.00002690,0.02434636,0.00607512
0.02464672,-0.00000197,0.02440099,0.00603792
0.02469661,-0.00003094,0.02445553,0.00600058
0.02474645,-0.00006000,0.02450997,0.00596311
0.02479624,-0.00008916,0.02456432,0.00592551
0.02484596,-0.00011842,0.02461858,0.00588777
